run_id,timestamp,backend,profile,model,quantization,vllm_version,gpu_name,vram_total_mb,route,max_model_len,gpu_memory_utilization,max_num_seqs,max_num_batched_tokens,kv_cache_dtype,enforce_eager,block_size,prefix_caching_enabled,chunked_prefill_enabled,async_scheduling_enabled,status,oom,model_memory_gib,kv_cache_memory_gib,gpu_blocks,gpu_blocks_source,gpu_kv_tokens,max_concurrency_tokens_per_request,max_concurrency,cuda_graph_capture,startup_seconds,gpu_mem_used_mb_after_start,exit_code,log_path,error_excerpt,notes
9f81a5ec-2f4a-4dca-bb19-02c8010ac84c,2026-05-09T00:11:55+00:00,vllm,qwen3_8b_awq_marlin_kv_dtype_graph,Qwen3-8B-AWQ-vLLM-local,awq-marlin-int4,0.17.1,NVIDIA GeForce RTX 4070 Laptop GPU,8188,WSL,4096,0.85,2,4096,auto,false,16,true,true,true,failed,false,5.71,,,,,,,false,367.27,6431,,logs/memory_profile_awq_kv_dtype_graph/9f81a5ec-2f4a-4dca-bb19-02c8010ac84c-001-len4096-gpu0.85-seq2-batch4096-kvauto-eagerfalse.log,"(EngineCore_DP0 pid=483) INFO 05-09 01:17:44 [gpu_worker.py:424] Available KV cache memory: -0.33 GiB
(EngineCore_DP0 pid=483) ERROR 05-09 01:17:44 [core.py:1100] EngineCore failed to start.
(EngineCore_DP0 pid=483) ERROR 05-09 01:17:44 [core.py:1100] Traceback (most recent call last):
(EngineCore_DP0 pid=483) ERROR 05-09 01:17:44 [core.py:1100]   File ""/home/sansss/.venvs/gptproject2-vllm/lib/python3.12/site-packages/vllm/v1/engine/core.py"", line 1090, in run_engine_core
(EngineCore_DP0 pid=483) ERROR 05-09 01:17:44 [core.py:1100]     engine_core = EngineCoreProc(*args, engine_index=dp_rank, **kwargs)
(EngineCore_DP0 pid=483) ERROR 05-09 01:17:44 [core.py:1100]                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
(EngineCore_DP0 pid=483) ERROR 05-09 01:17:44 [core.py:1100]   File ""/home/sansss/.venvs/gptproject2-vllm/lib/python3.12/site-packages/vllm/tracing/otel.py"", line 178, in sync_wrapper",awq-marlin-kv-dtype-graph4096
9f81a5ec-2f4a-4dca-bb19-02c8010ac84c,2026-05-09T00:11:55+00:00,vllm,qwen3_8b_awq_marlin_kv_dtype_graph,Qwen3-8B-AWQ-vLLM-local,awq-marlin-int4,0.17.1,NVIDIA GeForce RTX 4070 Laptop GPU,8188,WSL,4096,0.85,2,4096,fp8_e5m2,false,16,true,true,true,failed,false,5.71,0.41,377,derived_from_gpu_kv_tokens_div_block_size,6032,4096,1.47,false,61.45,7382,,logs/memory_profile_awq_kv_dtype_graph/9f81a5ec-2f4a-4dca-bb19-02c8010ac84c-002-len4096-gpu0.85-seq2-batch4096-kvfp8_e5m2-eagerfalse.log,"(EngineCore_DP0 pid=724) INFO 05-09 01:19:06 [kernel_warmup.py:69] Warming up FlashInfer attention.
(EngineCore_DP0 pid=724) ERROR 05-09 01:19:07 [core.py:1100] EngineCore failed to start.
(EngineCore_DP0 pid=724) ERROR 05-09 01:19:07 [core.py:1100] Traceback (most recent call last):
(EngineCore_DP0 pid=724) ERROR 05-09 01:19:07 [core.py:1100]   File ""/home/sansss/.venvs/gptproject2-vllm/lib/python3.12/site-packages/vllm/v1/engine/core.py"", line 1090, in run_engine_core
(EngineCore_DP0 pid=724) ERROR 05-09 01:19:07 [core.py:1100]     engine_core = EngineCoreProc(*args, engine_index=dp_rank, **kwargs)
(EngineCore_DP0 pid=724) ERROR 05-09 01:19:07 [core.py:1100]                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
(EngineCore_DP0 pid=724) ERROR 05-09 01:19:07 [core.py:1100]   File ""/home/sansss/.venvs/gptproject2-vllm/lib/python3.12/site-packages/vllm/tracing/otel.py"", line 178, in sync_wrapper",awq-marlin-kv-dtype-graph4096
9f81a5ec-2f4a-4dca-bb19-02c8010ac84c,2026-05-09T00:11:55+00:00,vllm,qwen3_8b_awq_marlin_kv_dtype_graph,Qwen3-8B-AWQ-vLLM-local,awq-marlin-int4,0.17.1,NVIDIA GeForce RTX 4070 Laptop GPU,8188,WSL,4096,0.85,2,4096,fp8_e4m3,false,16,true,true,true,failed,false,5.71,0.41,377,derived_from_gpu_kv_tokens_div_block_size,6032,4096,1.47,false,58.43,7381,,logs/memory_profile_awq_kv_dtype_graph/9f81a5ec-2f4a-4dca-bb19-02c8010ac84c-003-len4096-gpu0.85-seq2-batch4096-kvfp8_e4m3-eagerfalse.log,"(EngineCore_DP0 pid=912) INFO 05-09 01:20:26 [kernel_warmup.py:69] Warming up FlashInfer attention.
(EngineCore_DP0 pid=912) ERROR 05-09 01:20:27 [core.py:1100] EngineCore failed to start.
(EngineCore_DP0 pid=912) ERROR 05-09 01:20:27 [core.py:1100] Traceback (most recent call last):
(EngineCore_DP0 pid=912) ERROR 05-09 01:20:27 [core.py:1100]   File ""/home/sansss/.venvs/gptproject2-vllm/lib/python3.12/site-packages/vllm/v1/engine/core.py"", line 1090, in run_engine_core
(EngineCore_DP0 pid=912) ERROR 05-09 01:20:27 [core.py:1100]     engine_core = EngineCoreProc(*args, engine_index=dp_rank, **kwargs)
(EngineCore_DP0 pid=912) ERROR 05-09 01:20:27 [core.py:1100]                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
(EngineCore_DP0 pid=912) ERROR 05-09 01:20:27 [core.py:1100]   File ""/home/sansss/.venvs/gptproject2-vllm/lib/python3.12/site-packages/vllm/tracing/otel.py"", line 178, in sync_wrapper",awq-marlin-kv-dtype-graph4096
