run_id,timestamp,backend,profile,model,quantization,vllm_version,gpu_name,vram_total_mb,route,max_model_len,gpu_memory_utilization,max_num_seqs,max_num_batched_tokens,kv_cache_dtype,attention_backend,enforce_eager,block_size,prefix_caching_enabled,chunked_prefill_enabled,async_scheduling_enabled,status,oom,model_memory_gib,kv_cache_memory_gib,gpu_blocks,gpu_blocks_source,gpu_kv_tokens,max_concurrency_tokens_per_request,max_concurrency,cuda_graph_capture,startup_seconds,gpu_mem_used_mb_after_start,exit_code,log_path,error_excerpt,notes
dd0f9902-7682-426f-800d-521906c57c9e,2026-05-09T00:27:30+00:00,vllm,qwen3_8b_awq_marlin_kv_dtype_eager4096_triton,Qwen3-8B-AWQ-vLLM-local,awq-marlin-int4,0.17.1,NVIDIA GeForce RTX 4070 Laptop GPU,8188,WSL,4096,0.85,2,2048,fp8_e5m2,TRITON_ATTN,true,16,true,true,true,failed,false,5.71,,,,,,,false,48.24,6559,,logs/memory_profile_awq_kv_dtype_eager_triton/dd0f9902-7682-426f-800d-521906c57c9e-001-len4096-gpu0.85-seq2-batch2048-kvfp8_e5m2-eagertrue.log,"(EngineCore_DP0 pid=1965) INFO 05-09 01:28:17 [gpu_model_runner.py:4364] Model loading took 5.71 GiB memory and 32.483450 seconds
(EngineCore_DP0 pid=1965) ERROR 05-09 01:28:17 [core.py:1100] EngineCore failed to start.
(EngineCore_DP0 pid=1965) ERROR 05-09 01:28:17 [core.py:1100] Traceback (most recent call last):
(EngineCore_DP0 pid=1965) ERROR 05-09 01:28:17 [core.py:1100]   File ""/home/sansss/.venvs/gptproject2-vllm/lib/python3.12/site-packages/vllm/v1/engine/core.py"", line 1090, in run_engine_core
(EngineCore_DP0 pid=1965) ERROR 05-09 01:28:17 [core.py:1100]     engine_core = EngineCoreProc(*args, engine_index=dp_rank, **kwargs)
(EngineCore_DP0 pid=1965) ERROR 05-09 01:28:17 [core.py:1100]                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
(EngineCore_DP0 pid=1965) ERROR 05-09 01:28:17 [core.py:1100]   File ""/home/sansss/.venvs/gptproject2-vllm/lib/python3.12/site-packages/vllm/tracing/otel.py"", line 178, in sync_wrapper",awq-marlin-kv-dtype-eager4096-triton
dd0f9902-7682-426f-800d-521906c57c9e,2026-05-09T00:27:30+00:00,vllm,qwen3_8b_awq_marlin_kv_dtype_eager4096_triton,Qwen3-8B-AWQ-vLLM-local,awq-marlin-int4,0.17.1,NVIDIA GeForce RTX 4070 Laptop GPU,8188,WSL,4096,0.85,2,2048,fp8_e4m3,TRITON_ATTN,true,16,true,true,true,ready,false,5.71,0.59,532,derived_from_gpu_kv_tokens_div_block_size,8512,4096,2.08,false,46.43,7171,,logs/memory_profile_awq_kv_dtype_eager_triton/dd0f9902-7682-426f-800d-521906c57c9e-002-len4096-gpu0.85-seq2-batch2048-kvfp8_e4m3-eagertrue.log,,awq-marlin-kv-dtype-eager4096-triton
